国,ポジション,選手名,所属チーム名,チームランキング,チームパワー,エリア,小さい
スペイン,GK,ウナイ・シモン,ウェストハム・ユナイテッド,103,85.9,ヨーロッパ,イングランド
アメリカ,DF,マイルズ・ロビンソン,インテル・マイアミ,104,85.8,北中米,アメリカ
アルゼンチン,MF,レアンドロ・パレデス,インテル・マイアミ,104,85.8,北中米,アメリカ
日本,MF/FW,堂安律,インテル・マイアミ,104,85.8,北中米,アメリカ
ガーナ,DF,アブドゥル・ラーマン・ババ,クルス・アスル,105,85.8,北中米,メキシコ
パラグアイ,FW,ガブリエル・アバロス,クルス・アスル,105,85.8,北中米,メキシコ
クロアチア,MF,ニコラ・ヴラシッチ,トリノ,106,85.8,ヨーロッパ,イタリア
スコットランド,FW,チェ・アダムス,トリノ,106,85.8,ヨーロッパ,イタリア
ノルウェー,DF,マルクス・ヘルムグレン・ペデルセン,トリノ,106,85.8,ヨーロッパ,イタリア
クロアチア,FW,アンテ・ブディミル,アウクスブルク,107,85.6,ヨーロッパ,ドイツ
コロンビア,DF,ウィラー・ディッタ,アウクスブルク,107,85.6,ヨーロッパ,ドイツ
スペイン,FW,ビクトル・ムニョス,アウクスブルク,107,85.6,ヨーロッパ,ドイツ
メキシコ,MF,エリック・リラ,アウクスブルク,107,85.6,ヨーロッパ,ドイツ
アルジェリア,DF,サミル・シェルギ,パリFC,108,85.6,ヨーロッパ,フランス
アメリカ,MF,ジオ・レイナ,ボルシアMG,109,85.6,ヨーロッパ,ドイツ
アメリカ,DF,ジョー・スケリー,ボルシアMG,109,85.6,ヨーロッパ,ドイツ
スイス,DF,ニコ・エルベディ,ボルシアMG,109,85.6,ヨーロッパ,ドイツ
ボスニア・ヘルツェゴビナ,FW,ハリス・タバコヴィッチ,ボルシアMG,109,85.6,ヨーロッパ,ドイツ
メキシコ,FW,アレクシス・ベガ,ボルシアMG,109,85.6,ヨーロッパ,ドイツ
メキシコ,DF,ヘスス・ガジャルド,ボルシアMG,109,85.6,ヨーロッパ,ドイツ
オーストラリア,FW,クリスティアン・ヴォルパト,サッスオーロ,110,85.5,ヨーロッパ,イタリア
カナダ,MF,イスマエル・コネ,サッスオーロ,110,85.5,ヨーロッパ,イタリア
ノルウェー,MF,クリスティアン・トルストヴェット,サッスオーロ,110,85.5,ヨーロッパ,イタリア
ボスニア・ヘルツェゴビナ,DF,タリク・ムハレモヴィッチ,サッスオーロ,110,85.5,ヨーロッパ,イタリア
スイス,GK,イボン・ムボゴ,ロリアン,111,85.5,ヨーロッパ,フランス
セネガル,FW,バンバ・ディエン,ロリアン,111,85.5,ヨーロッパ,フランス
チュニジア,DF,モンタサル・タルビ,ロリアン,111,85.5,ヨーロッパ,フランス
カーボベルデ,MF,ケビン・ピナ,クラスノダール,112,85.5,ヨーロッパ,ロシア
コロンビア,FW,ジョン・コルドバ,クラスノダール,112,85.5,ヨーロッパ,ロシア
コロンビア,MF,フアン・ポルティーヤ,アトレチコ・パラナエンセ,113,85.5,南アメリカ,ブラジル
チュニジア,MF,ラニ・ケディラ,ウニオン・ベルリン,114,85.5,ヨーロッパ,ドイツ
ノルウェー,DF,レオ・エスティゴール,ジェノア,115,85.4,ヨーロッパ,イタリア
メキシコ,DF,ヨハン・バスケス,ジェノア,115,85.4,ヨーロッパ,イタリア
日本,MF/FW,後藤啓介,シント＝トロイデンVV,117,85.4,ヨーロッパ,ベルギー
日本,DF,谷口彰悟,シント＝トロイデンVV,117,85.4,ヨーロッパ,ベルギー
アルジェリア,FW,リヤド・マフレズ,アル・アハリ,118,85.3,アフリカ,サウジアラビア
イングランド,FW,アイヴァン・トニー,アル・アハリ,118,85.3,アフリカ,サウジアラビア
エジプト,FW,"アーメド・サイード・""ジゾ""",アル・アハリ,118,85.3,アフリカ,サウジアラビア
エジプト,MF,エマム・アシュール,アル・アハリ,118,85.3,アフリカ,サウジアラビア
エジプト,FW,"マハムード・""トレゼゲ""",アル・アハリ,118,85.3,アフリカ,サウジアラビア
エジプト,MF,マルワン・アッティア,アル・アハリ,118,85.3,アフリカ,サウジアラビア
エジプト,GK,モスタファ・ショベイル,アル・アハリ,118,85.3,アフリカ,サウジアラビア
エジプト,GK,モハメド・エル・シェナウィ,アル・アハリ,118,85.3,アフリカ,サウジアラビア
エジプト,DF,モハメド・ハニー,アル・アハリ,118,85.3,アフリカ,サウジアラビア
エジプト,DF,ヤセル・イブラヒム,アル・アハリ,118,85.3,アフリカ,サウジアラビア
コートジボワール,MF,フランク・ケシエ,アル・アハリ,118,85.3,アフリカ,サウジアラビア
サウジアラビア,DF,アリ・マジュラシ,アル・アハリ,118,85.3,アフリカ,サウジアラビア
サウジアラビア,MF,ジヤド・アル・ジョハニ,アル・アハリ,118,85.3,アフリカ,サウジアラビア
サウジアラビア,FW,フィラース・アル・ブライカーン,アル・アハリ,118,85.3,アフリカ,サウジアラビア
セネガル,GK,エドゥアール・メンディ,アル・アハリ,118,85.3,アフリカ,サウジアラビア
トルコ,DF,メルフ・デミラル,アル・アハリ,118,85.3,アフリカ,サウジアラビア
ブラジル,DF,イバニェス,アル・アハリ,118,85.3,アフリカ,サウジアラビア
モロッコ,DF,ユセフ・ベランマリ,アル・アハリ,118,85.3,アフリカ,サウジアラビア
日本,GK,大迫敬介,サンフレッチェ広島,119,85.3,アジア,日本
オーストリア,FW,マルコ・アルナウトヴィッチ,ツルヴェナ・ズヴェズダ,120,85.3,ヨーロッパ,セルビア
韓国,DF,ソル・ヨンウ,ツルヴェナ・ズヴェズダ,120,85.3,ヨーロッパ,セルビア
アルジェリア,FW,アニス・ハジ・ムーサ,フェイエノールト,121,85.3,ヨーロッパ,オランダ
オーストラリア,DF,ジョーディ・ボス,フェイエノールト,121,85.3,ヨーロッパ,オランダ
韓国,MF,ファン・インボム,フェイエノールト,121,85.3,ヨーロッパ,オランダ
日本,MF/FW,上田綺世,フェイエノールト,121,85.3,ヨーロッパ,オランダ
日本,DF,渡辺剛,フェイエノールト,121,85.3,ヨーロッパ,オランダ
オランダ,FW,メンフィス・デパイ,コリンチャンス,123,85.3,南アメリカ,ブラジル
スイス,MF,ファビアン・リーダー,AGF,124,85.3,ヨーロッパ,デンマーク
イラク,MF,ケビン・ヤコブ,トルーカ,125,85.2,北中米,メキシコ
チュニジア,MF,イスマエル・ガルビ,トルーカ,125,85.2,北中米,メキシコ
韓国,DF,キム・テヒョン,鹿島アントラーズ,128,85.1,アジア,日本
日本,GK,早川友基,鹿島アントラーズ,128,85.1,アジア,日本
クロアチア,GK,ドミニク・コタルスキ,コペンハーゲン,129,85,ヨーロッパ,デンマーク
チュニジア,FW,エリアス・アシュリ,コペンハーゲン,129,85,ヨーロッパ,デンマーク
日本,DF,鈴木淳之介,コペンハーゲン,129,85,ヨーロッパ,デンマーク
イラク,MF,ユセフ・アミン,AEKラルナカ,130,85,ヨーロッパ,キプロス
コンゴ民主共和国,MF,シャルル・ピケル,エスパニョール,131,85,ヨーロッパ,スペイン
イラク,DF,メルカス・ドスキ,ヴィクトリア・プルゼニ,133,85,ヨーロッパ,チェコ
オーストリア,GK,フロリアン・ヴィーゲレ,ヴィクトリア・ブルゼニ,133,85,ヨーロッパ,チェコ
ガーナ,FW,プリンス・クワベナ・アドゥ,ヴィクトリア・プルゼニ,133,85,ヨーロッパ,チェコ
チェコ,MF,アレサンドル・ソイカ,ヴィクトリア・プルゼニ,133,85,ヨーロッパ,チェコ
チェコ,FW,デニス・ヴィシンスキー,ヴィクトリア・プルゼニ,133,85,ヨーロッパ,チェコ
チェコ,MF,ルカーシュ・チェルフ,ヴィクトリア・プルゼニ,133,85,ヨーロッパ,チェコ
ボスニア・ヘルツェゴビナ,MF,アマル・メミッチ,ヴィクトリア・プルゼニ,133,85,ヨーロッパ,チェコ
アメリカ,DF,オーストン・トラスティ,セルティック,135,84.9,ヨーロッパ,スコットランド
カナダ,DF,アリスター・ジョンストン,セルティック,135,84.9,ヨーロッパ,スコットランド
スウェーデン,FW,ベンジャミン・ニグレン,セルティック,135,84.9,ヨーロッパ,スコットランド
スコットランド,DF,アンソニー・ラルストン,セルティック,135,84.9,ヨーロッパ,スコットランド
スコットランド,DF,キーラン・ティアニー,セルティック,135,84.9,ヨーロッパ,スコットランド
チュニジア,FW,セバスティアン・トゥネクティ,セルティック,135,84.9,ヨーロッパ,スコットランド
韓国,MF,ヤン・ヒョンジュン,セルティック,135,84.9,ヨーロッパ,スコットランド
日本,MF/FW,前田大然,セルティック,135,84.9,ヨーロッパ,スコットランド
コロンビア,MF,グスタボ・プエルタ,アブハー,136,84.9,アジア,サウジアラビア
キュラソー,FW,ソンチェ・ハンセン,ミドルスブラ,137,84.9,ヨーロッパ,イングランド
ガーナ,DF,デリック・ルカッセン,パフォス,138,84.9,ヨーロッパ,キプロス
スウェーデン,MF,ケン・セマ,パフォス,138,84.9,ヨーロッパ,キプロス
ボスニア・ヘルツェゴビナ,MF,イヴァン・シュニッチ,パフォス,138,84.9,ヨーロッパ,キプロス
スイス,MF,ジブリル・ソウ,セビージャ,140,84.9,ヨーロッパ,スペイン
スイス,MF,ルベン・バルガス,セビージャ,140,84.9,ヨーロッパ,スペイン
ノルウェー,GK,エリアン・ニュラン,セビージャ,140,84.9,ヨーロッパ,スペイン
チェコ,MF,ヒューゴ・ソフフルェク,スパルタ・プラハ,141,84.8,ヨーロッパ,チェコ
チェコ,DF,ヤロスラフ・ゼレニー,スパルタ・プラハ,141,84.8,ヨーロッパ,チェコ
チェコ,FW,ヤン・クフタ,スパルタ・プラハ,141,84.8,ヨーロッパ,チェコ
オーストリア,DF,ダヴィド・アッフェングルーバー,エルチェ,142,84.8,ヨーロッパ,スペイン
ウルグアイ,DF,サンティ・ブエノ,ウォルヴァーハンプトン,145,84.7,ヨーロッパ,イングランド
チェコ,DF,ラディスラフ・クレイチー,ウォルヴァーハンプトン,145,84.7,ヨーロッパ,イングランド
ノルウェー,DF,ダヴィド・ウォルフ,ウォルヴァーハンプトン,145,84.7,ヨーロッパ,イングランド
ハイチ,MF,ジャン＝リクネル・ベルガルド,ウォルヴァーハンプトン,145,84.7,ヨーロッパ,イングランド
ポルトガル,GK,ジョゼ・サ,ウォルヴァーハンプトン,145,84.7,ヨーロッパ,イングランド
韓国,MF,ファン・ヒチャン,ウォルヴァーハンプトン,145,84.7,ヨーロッパ,イングランド
ガーナ,MF,エリシャ・オウス,オセール,146,84.7,ヨーロッパ,フランス
ガーナ,DF,ギデオン・メンサー,オセール,146,84.7,ヨーロッパ,フランス
ガーナ,DF,マーヴィン・セナヤ,オセール,146,84.7,ヨーロッパ,フランス
ハイチ,FW,ジョズエ・カジミール,オセール,146,84.7,ヨーロッパ,フランス
コロンビア,DF,ジェリー・ミナ,カリアリ,147,84.7,ヨーロッパ,イタリア
アルジェリア,MF,ラミズ・ゼルキ,トゥウェンテ,148,84.7,ヨーロッパ,オランダ
コロンビア,GK,アルバロ・モンテーロ,ベレス・サルスフィエルド,150,84.6,ヨーロッパ,アルゼンチン
クロアチア,DF,ルカ・ヴシュコヴィッチ,ハンブルガーSV,152,84.5,ヨーロッパ,ドイツ
スイス,DF,ミロ・ミュハイム,ハンブルガーSV,152,84.5,ヨーロッパ,ドイツ
ノルウェー,GK,サンデル・タンヴィク,ハンブルガーSV,152,84.5,ヨーロッパ,ドイツ
ブラジル,FW,ネイマール,サントス,153,84.5,南アメリカ,ブラジル
オーストリア,DF,マルコ・フリードル,ブレーメン,155,84.5,ヨーロッパ,ドイツ
オーストリア,MF,ロマーノ・シュミット,ブレーメン,155,84.5,ヨーロッパ,ドイツ
日本,DF,菅原由勢,ブレーメン,155,84.5,ヨーロッパ,ドイツ
アメリカ,MF,セバスティアン・バーホルター,バンクーバー・ホワイトキャップス,156,84.4,北中米,カナダ
チュニジア,FW,ラヤン・エルルミ,バンクーバー・ホワイトキャップス,156,84.4,北中米,カナダ
パラグアイ,MF,アンドレス・クバス,バンクーバー・ホワイトキャップス,156,84.4,北中米,カナダ
オーストラリア,DF,アレッサンドロ・チルカティ,パルマ,157,84.4,ヨーロッパ,イタリア
日本,GK,鈴木彩艶,パルマ,157,84.4,ヨーロッパ,イタリア
パラグアイ,DF,グスタボ・ベラスケス,セロ・ポルテーニョ,158,84.2,南アメリカ,パラグアイ
パラグアイ,GK,ロベルト・フェルナンデス,セロ・ポルテーニョ,158,84.2,南アメリカ,パラグアイ
パナマ,FW,アザリアス・ロンドニョ,ウニベルシダ・カトリカ,159,84.2,南アメリカ,チリ
パナマ,FW,ホセ・ファハルド,ウニベルシダ・カトリカ,159,84.2,南アメリカ,チリ
オーストラリア,FW,テテ・イェンギ,FC町田ゼルビア,160,84.2,アジア,日本
アルジェリア,MF,ヒシャム・ブダウィ,ニース,161,84.2,ヨーロッパ,フランス
エジプト,DF,モハメド・アブデルモネイム,ニース,161,84.2,ヨーロッパ,フランス
ガーナ,DF,コジョ・ペプラ・オッポン,ニース,161,84.2,ヨーロッパ,フランス
カナダ,DF,モイーズ・ボンビト,ニース,161,84.2,ヨーロッパ,フランス
コートジボワール,FW,エリー・ワヒ,ニース,161,84.2,ヨーロッパ,フランス
セネガル,DF,アントワーヌ・メンディ,ニース,161,84.2,ヨーロッパ,フランス
セネガル,GK,イェヴァン・ディウフ,ニース,161,84.2,ヨーロッパ,フランス
チュニジア,DF,アリ・アブディ,ニース,161,84.2,ヨーロッパ,フランス
カナダ,MF,マシュー・ショワニエール,ロサンゼルスFC,163,84.2,北中米,アメリカ
韓国,FW,ソン・フンミン,ロサンゼルスFC,163,84.2,北中米,アメリカ
パラグアイ,GK,ガストン・オルベイラ,オリンピア,164,84.2,南アメリカ,パラグアイ
ウルグアイ,GK,セルヒオ・ロシェ,インテルナシオナル,165,84.1,南アメリカ,ブラジル
エクアドル,DF,フェリックス・トーレス,インテルナシオナル,165,84.1,南アメリカ,ブラジル
コンゴ民主共和国,DF,アクセル・トゥアンゼベ,バーンリー,168,84.1,ヨーロッパ,イングランド
スイス,FW,ゼキ・アムドゥニ,バーンリー,168,84.1,ヨーロッパ,イングランド
スウェーデン,DF,ヒャルマル・エクダル,バーンリー,168,84.1,ヨーロッパ,イングランド
チュニジア,MF,ハンニバル・メイブリ,バーンリー,168,84.1,ヨーロッパ,イングランド
南アフリカ,FW,ライル・フォスター,バーンリー,168,84.1,ヨーロッパ,イングランド
エクアドル,MF,アラン・フランコ,アトレチコ・ミネイロ,169,84.1,南アメリカ,ブラジル
エクアドル,MF,アラン・ミンダ,アトレチコ・ミネイロ,169,84.1,南アメリカ,ブラジル
エクアドル,DF,アンヘロ・プレシアード,アトレチコ・ミネイロ,169,84.1,南アメリカ,ブラジル
パラグアイ,DF,フニオール・アロンソ,アトレチコ・ミネイロ,169,84.1,南アメリカ,ブラジル
コートジボワール,DF,エマニュエル・アグバドゥ,ベシクタシュ,170,84.1,ヨーロッパ,トルコ
トルコ,MF,オルクン・コクチュ,ベシクタシュ,170,84.1,ヨーロッパ,トルコ
パナマ,DF,アミル・ムリージョ,ベジクタシュ,170,84.1,ヨーロッパ,トルコ
韓国,FW,オ・ヒョンギュ,ベシクタシュ,170,84.1,ヨーロッパ,トルコ
オーストリア,MF,デヤン・リュビチッチ,シャルケ,172,84,ヨーロッパ,ドイツ
ボスニア・ヘルツェゴビナ,FW,エディン・ジェコ,シャルケ,172,84,ヨーロッパ,ドイツ
ボスニア・ヘルツェゴビナ,DF,ニコラ・カティッチ,シャルケ,172,84,ヨーロッパ,ドイツ
メキシコ,DF,マテオ・チャベス,AZアルクマール,173,84,ヨーロッパ,オランダ
ニュージーランド,GK,マックス_クロコム,ミルウォール,174,84,ヨーロッパ,イングランド
オランダ,FW,ヴァウト・ヴェグホルスト,アヤックス,176,84,ヨーロッパ,オランダ
クロアチア,DF,ヨシプ・シュタロ,アヤックス,176,84,ヨーロッパ,オランダ
日本,DF,板倉滉,アヤックス,176,84,ヨーロッパ,オランダ
日本,DF,冨安健洋,アヤックス,176,84,ヨーロッパ,オランダ
オーストラリア,GK,ポール・イッツォ,ラヌース,177,84,南アメリカ,アルゼンチン
パラグアイ,DF,ホセ・カナレ,ラヌース,177,84,南アメリカ,アルゼンチン
エクアドル,GK,エルナン・ガリンデス,ウラカン,180,83.9,南アメリカ,アルゼンチン
エクアドル,FW,ジョルディ・カイセド,ウラカン,180,83.9,南アメリカ,アルゼンチン
パラグアイ,MF,ダミアン・ボバディージャ,サンパウロ,182,83.9,南アメリカ,ブラジル
ウルグアイ,MF,ファクンド・ペリストリ,パナシナイコス,183,83.8,ヨーロッパ,ギリシャ
コートジボワール,GK,アルバン・ラフォン,パナシナイコス,183,83.8,ヨーロッパ,ギリシャ
ガーナ,FW,クリストファー・ボンス・バー,アル・カーディシーヤ,184,83.7,アジア,サウジアラビア
サウジアラビア,GK,アーメド・アル・カッサル,アル・カーディシーヤ,184,83.7,アジア,サウジアラビア
サウジアラビア,DF,ジェハド・タクリ,アル・カーディシーヤ,184,83.7,アジア,サウジアラビア
サウジアラビア,MF,ムサブ・アル・ジュワイル,アル・カーディシーヤ,184,83.7,アジア,サウジアラビア
サウジアラビア,DF,モハメド・アブ・アル・シャマト,アル・カーディシーヤ,184,83.7,アジア,サウジアラビア
メキシコ,FW,フリアン・キニョネス,アル・カーディシーヤ,184,83.7,アジア,サウジアラビア
エジプト,FW,イブラヒム・アデル,ノアシェラン,186,83.7,ヨーロッパ,デンマーク
ガーナ,MF,ケイレブ・イレンキノア,ノアシェラン,186,83.7,ヨーロッパ,デンマーク
カーボベルデ,MF,テルモ・アルカンジョ,ヴィトーリア・ギマランイス,187,83.7,ヨーロッパ,ポルトガル
カナダ,DF,ニコ・シグル,HNKハイドゥク・スプリト,189,83.7,ヨーロッパ,クロアチア
パナマ,FW,セシリオ・ウォーターマン,コキンボ・ウニド,190,83.6,南アメリカ,チリ
ウルグアイ,FW,ロドリゴ・アギーレ,UANLティグレス,191,83.6,北中米,メキシコ
カナダ,MF,マルセロ・フローレス,UANLティグレス,191,83.6,北中米,メキシコ
カーボベルデ,DF,ワグナー・ピナ,トラブゾンスポル,193,83.6,ヨーロッパ,トルコ
コートジボワール,MF,クリスト・イナオ・ウライ,トラブゾンスポル,193,83.6,ヨーロッパ,トルコ
ボスニア・ヘルツェゴビナ,FW,サメド・バジュダル,ヤギエロニア・ビャウィストク,194,83.6,ヨーロッパ,ポーランド
コンゴ民主共和国,GK,リオネル・ムパシ,ル・アーヴル,195,83.6,ヨーロッパ,フランス
セネガル,GK,モリ・ディアウ,ル・アーヴル,195,83.6,ヨーロッパ,フランス
日本,DF,瀬古歩夢,ル・アーヴル,195,83.6,ヨーロッパ,フランス
アルジェリア,MF,ヤシン・ティトラウイ,シャルルロワ,196,83.6,ヨーロッパ,ベルギー
コートジボワール,MF,パルフェ・ギアゴン,シャルルロワ,196,83.6,ヨーロッパ,ベルギー
コートジボワール,GK,モハメド・コネ,シャルルロワ,196,83.6,ヨーロッパ,ベルギー
イラク,MF,マルコ・ファルジ,ヴェネツィア,197,83.6,ヨーロッパ,イタリア
エクアドル,MF,ジョン・イェボア,ヴェネツィア,197,83.6,ヨーロッパ,イタリア
オーストリア,DF,ミヒャエル・スヴォボダ,ヴェネツィア,197,83.6,ヨーロッパ,イタリア
パラグアイ,DF,ファビアン・バルブエナ,グレミオ,201,83.5,南アメリカ,ブラジル
ブラジル,GK,ウェヴェルトン,グレミオ,201,83.5,南アメリカ,ブラジル
コンゴ民主共和国,FW,テオ・ボンゴンダ,スパルタク・モスクワ,205,83.4,ヨーロッパ,ロシア
オーストリア,FW,サーシャ・カライジッチ,LASK,207,83.4,ヨーロッパ,オーストリア
パナマ,DF,アンドレス・アンドラーデ,LASK,207,83.4,ヨーロッパ,オーストリア
スウェーデン,DF,エリオット・ストラウド,ミャルビーAIF,208,83.4,ヨーロッパ,スウェーデン
パラグアイ,GK,オルランド・ヒル,サン・ロレンソ,209,83.4,南アメリカ,アルゼンチン
オーストラリア,FW,モハメド・トゥーレ,ノリッジ・シティ,212,83.4,ヨーロッパ,イングランド
カナダ,MF,アリ・アーメド,ノリッジ・シティ,212,83.4,ヨーロッパ,イングランド
スコットランド,MF,ケニー・マクリーン,ノリッジ・シティ,212,83.4,ヨーロッパ,イングランド
チュニジア,MF,アニス・ベン・スリマネ,ノリッジ・シティ,212,83.4,ヨーロッパ,イングランド
パナマ,DF,ホセ・コルドバ,ノリッジ・シティ,212,83.4,ヨーロッパ,イングランド
クロアチア,MF,トニ・フルク,リエカ,215,83.3,ヨーロッパ,クロアチア
ボスニア・ヘルツェゴビナ,DF,スティエパン・ラデリッチ,リエカ,215,83.3,ヨーロッパ,クロアチア
ボスニア・ヘルツェゴビナ,GK,マルティン・ズロミスリッチ,リエカ,215,83.3,ヨーロッパ,クロアチア
カナダ,MF,ネイサン・サリバ,アンデルレヒト,216,83.3,ヨーロッパ,ベルギー
メキシコ,FW,セサル・ウエルタ,アンデルレヒト,216,83.3,ヨーロッパ,ベルギー
アメリカ,MF,クリスティアン・ロルダン,シアトル・サウンダーズ,217,83.3,北中米,アメリカ
パラグアイ,DF,アレクサンドロ・マイダナ,タジェレス,218,83.3,南アメリカ,アルゼンチン
ウズベキスタン,MF,アボスベク・ファイズラエフ,イスタンブール・バシャクシェヒル,221,83.2,ヨーロッパ,トルコ
ウズベキスタン,FW,エルドル・ショムロドフ,イスタンブール・バシャクシェヒル,221,83.2,ヨーロッパ,トルコ
ガーナ,DF,ジェローム・オポク,イスタンブール・バシャクシェヒル,221,83.2,ヨーロッパ,トルコ
カーボベルデ,FW,ヌーノ・ダ・コスタ,イスタンブール・バシャクシェヒル,221,83.2,ヨーロッパ,トルコ
コートジボワール,DF,クリストファー・オペリ,イスタンブール・バシャクシェヒル,221,83.2,ヨーロッパ,トルコ
アメリカ,FW,アレハンドロ・ゼンデハス,アメリカ,224,83.2,北中米,アメリカ
ウルグアイ,DF,セバスティアン・カセレス,アメリカ,224,83.2,北中米,アメリカ
ウルグアイ,MF,ブライアン・ロドリゲス,アメリカ,224,83.2,北中米,アメリカ
メキシコ,DF,イスラエル・レジェス,アメリカ,224,83.2,北中米,アメリカ
カナダ,DF,デレク・コーネリアス,レンジャーズ,226,83.1,ヨーロッパ,スコットランド
スコットランド,DF,ジョン・サウター,レンジャーズ,226,83.1,ヨーロッパ,スコットランド
スコットランド,GK,リアム・ケリー,レンジャーズ,226,83.1,ヨーロッパ,スコットランド
ノルウェー,MF,セロニアス・アースゴール,レンジャーズ,226,83.1,ヨーロッパ,スコットランド
ベルギー,MF,ニコラス・ラスキン,レンジャーズ,226,83.1,ヨーロッパ,スコットランド
イラク,MF,アフメド・カセム,ナッシュビル,227,83,北中米,アメリカ
ウズベキスタン,GK,ウトキル・ユスポフ,ナフバホール,227,83,アジア,ウズベキスタン
カナダ,MF,ジェイコブ・シャッフェルバーグ,ナッシュビル,227,83,北中米,アメリカ
アルジェリア,FW,ファレス_ゲジェミス,フロジノーネ,228,83,ヨーロッパ,イタリア
コロンビア,FW,アンドレス・ゴメス,ヴァスコ・ダ・ガマ,229,83,南アメリカ,ブラジル
エクアドル,FW,エネル・バレンシア,パチューカ,231,83,北中米,メキシコ
ボスニア・ヘルツェゴビナ,DF,アルヤン・マリッチ,シュトゥルム・グラーツ,232,83,ヨーロッパ,オーストリア
アルジェリア,FW,ナディール・ベンブアリ,ジェールETO,233,83,ヨーロッパ,ハンガリー
エジプト,DF,カリム・ハフェズ,ピラミッズ,234,82.9,アフリカ,エジプト
エジプト,MF,モスタファ・ジコ,ピラミッズ,234,82.9,アフリカ,エジプト
エジプト,MF,モハナド・ラシーン,ピラミッズ,234,82.9,アフリカ,エジプト
コンゴ民主共和国,FW,フィストン・マイエレ,ピラミッズ,234,82.9,アフリカ,エジプト
ヨルダン,FW,オーデ・アル・ファーフーリー,ピラミッズ,234,82.9,アフリカ,エジプト
イラク,MF,ジダン・アーマー・イクバル,ユトレヒト,235,82.9,ヨーロッパ,オランダ
キュラソー,DF,デヴェロン・フォンヴィル,NECナイメヘン,236,82.9,ヨーロッパ,オランダ
日本,MF/FW,小川航基,NECナイメヘン,236,82.9,ヨーロッパ,オランダ
エクアドル,GK,ゴンサロ・バジェ,LDUキト,239,82.8,南アメリカ,エクアドル
ハイチ,DF,リカルド・アデ,LDUキト,239,82.8,南アメリカ,エクアドル
ガーナ,GK,ローレンス・アティ＝ジギ,ザンクト・ガlen,240,82.8,ヨーロッパ,スイス
メキシコ,FW,アルマンド・ゴンサレス,グアダラハラ・チバス,241,82.8,北中米,メキシコ
メキシコ,MF,ブライアン・グティエレス,グアダラハラ・チバス,241,82.8,北中米,メキシコ
メキシコ,GK,ラウール・ランヘル,グアダラハラ・チバス,241,82.8,北中米,メキシコ
メキシコ,MF,ルイス・ロモ,グアダラハラ・チバス,241,82.8,北中米,メキシコ
メキシコ,FW,ロベルト・アルバラド,グアダラハラ・チバス,241,82.8,北中米,メキシコ
スウェーデン,GK,ヤコブ・ヴィデル・ゼッテルストレーム,ダービー・カウンティ,242,82.8,ヨーロッパ,イングランド
ノルウェー,DF,ソンドレ・ランガス,ダービー・カウンティ,242,82.8,ヨーロッパ,イングランド
キュラソー,FW,タヒス・チョン,シェフィールド・ユナイテッド,246,82.7,ヨーロッパ,イングランド
ニュージーランド,DF,タイラー・ビンドン,シェフィールド・ユナイテッド,246,82.7,ヨーロッパ,イングランド
イラン,FW,デニス・ダルガヒ,スタンダール・リエージュ,249,82.6,ヨーロッパ,ベルギー
コンゴ民主共和国,GK,マチュー・エポロ,スタンダール・リエージュ,249,82.6,ヨーロッパ,ベルギー
スコットランド,DF,ドム・ハイアム,レクサム,250,82.6,ヨーロッパ,ウェールズ
ニュージーランド,DF,リベラト・カカーチェ,レクサム,250,82.6,ヨーロッパ,ウェールズ
チュニジア,MF,モハメド・ハジ・マフムード,ルガーノ,253,82.5,ヨーロッパ,スイス
ハイチ,DF,ハネス・デルクロワ,ルガーノ,253,82.5,ヨーロッパ,スイス
コートジボワール,DF,ギスラン・コナン,ジル・ビセンテ,255,82.4,ヨーロッパ,ポルトガル
ヨルダン,DF,ヤザン・アル・アラブ,FCソウル,256,82.3,アジア,韓国
韓国,MF,キム・ジンギュ,全北現代,257,82.4,アジア,韓国
韓国,GK,ソン・ボムグン,全北現代,257,82.4,アジア,韓国
韓国,DF,チョ・ウィジェ,全北現代,257,82.4,アジア,韓国
キュラソー,FW,ヤール・マルガリータ,ベフェレン,258,82.4,ヨーロッパ,ベルギー
カーボベルデ,FW,ガリー・ロドリゲス,アポロン・リマソル,260,82.3,ヨーロッパ,キプロス
韓国,MF,ペク・スンホ,バーミンガム・シティ,261,82.3,ヨーロッパ,イングランド
オーストラリア,DF,キャメロン・バージェス,スウォンジー・シティ,262,82.3,ヨーロッパ,ウェールズ
ニュージーランド,MF,マルコ・スタメニッチ,スウォンジー・シティ,262,82.3,ヨーロッパ,ウェールズ
韓国,MF,オム・ジソン,スウォンジー・シティ,262,82.3,ヨーロッパ,ウェールズ
韓国,GK,キム・スンギュ,FC東京,264,82.3,アジア,日本
日本,DF,長友佑都,FC東京,264,82.3,アジア,日本
南アフリカ,FW,エヴィデンス・マクゴバ,オーランド・パイレーツ,265,82.3,アフリカ,南アフリカ
南アフリカ,FW,オスウィン・アポリス,オーランド・パイレーツ,265,82.3,アフリカ,南アフリカ
南アフリカ,DF,カモゲロ・セベレベレ,オーランド・パイレーツ,265,82.3,アフリカ,南アフリカ
南アフリカ,GK,シフォ・チェイン,オーランド・パイレーツ,265,82.3,アフリカ,南アフリカ
南アフリカ,MF,タレンテ・ムバサ,オーランド・パイレーツ,265,82.3,アフリカ,南アフリカ
南アフリカ,FW,ツェパン・モレミ,オーランド・パイレーツ,265,82.3,アフリカ,南アフリカ
